Job Title,Company Name,Location,Posted Date,Job Description
Sales Development Representative,Harmonic,"New York, NY",4 months ago,"About Us

Harmonic is using data and AI to map the world of startups. When companies are first formed, they're invisible to the world. We've created the only complete startup database, enabling the right investments to reach the right entrepreneurs at the right moment. We cover founders who've just filed for incorporation to scaleups hiring their go-public CFO, all in real-time with rich firmographic, team info, and time-series data.

Hundreds of venture teams have become data-driven and deployed their dollars more effectively thanks to Harmonic. Firms like Accel, NEA, Brex, Notion, and Google Ventures use Harmonic to connect startups with the capital and resources they need to drive growth. We're backed by some of the best investors - Craft, Sozo, Floodgate, and several others, all of whom started as customers first.

We believe your ability to pick up new skills, excitement for personal growth, and passion for professional development are more important than where you are today. We invite you to reach out if you're driven, curious, optimistic, and passionate about mastering your craft!

What we're looking for

We're looking for a full-time SDR, who will be responsible for generating new business opportunities for the company. This role is critical to our team, because a successful candidate will make meaningful contributions to drive sales and improve overall GTM processes for the team.

On top of driving critical revenue for our company, we're excited about the future growth of this hire. Historically, we've seen a lot of success promoting hardworking SDRs to other sales roles! So we're looking for somebody that has the right attitude and skills to continue to grow into an increasingly impactful and successful career here.

At Harmonic, you'll be:


Sourcing new opportunities in target VC + Enterprise accounts
Identifying product champions and relevant personas in those target accounts
Creating and engaging customers with personalized messaging
Scheduling discovery meetings with AEs
Identifying and communicating different ways we can improve our process


We're looking for someone with:


A desire to work in person. Most of our NYC team comes into the office every day, we're at The Brass Factory in Brooklyn.
A track record of excelling in whatever you set your mind to
A scrappy, roll-up-your-sleeves mentality - you'll help us refine what great looks like
Comfort with ambiguity and rapidly-changing environments
Excellent communication skills - can speak to a variety of users (sales, engineers, data scientists)


Bonus points if you have:


Relevant experience with similar roles, customers, and products is nice to have. We're open to this being your first sales role, but we can appreciate a more senior hire if you've done similar work before.
Technical acumen or the ability to learn software products quickly.


Pay

$60k-$75k salary + variable pay (quota) + equity depending on level

Benefits*


🩺 Top of the line health, dental and vision insurance, with 100% premium covered
📈 401k matching
🌴 Unlimited vacation and sick leave
🌍 Offices in NYC, SF, & LA


Read About Our Company Culture


For full-time employees only
Show less "
Sales Development Representative,Starburst,"Boston, MA",2 months ago,"About Starburst

At Starburst, we are working to dismantle the status quo of data silos and vendor lock-in every single day. For decades, database companies have held their customers hostage and we believe that’s just plain wrong. Starburst offers a full-featured data lake analytics platform, built on open source Trino. Our platform includes all the capabilities needed to discover, organize, and consume data without the need for time-consuming and costly migration projects. Today more than 300 leading organizations trust us to make better decisions faster.

Though Starburst has raised $414M in venture funding from top investors, we were founded in a rather unusual way as we bootstrapped the business with customers and revenue from the very beginning! We are a remote-first company with employees all over the world and are proud to be named a Best Place to Work. Come join our team of All-Stars!

About The Role

We are looking for top performers who can match Starburst Data’s leading product offering with the right customer. While working with an all-star sales team at our fast paced growth company, you should be curious and have a basic understanding of our offerings. We will provide you with the training and support you need to be the best.You revel in the day to day details while maintaining a clear understanding of the big picture, effortlessly directing your sales efforts to our Account Executives.This position is a fantastic opportunity for a candidate eager to kickstart their career in software sales.

As a Sales Development Rep at Starburst you will:


Reach out to prospective customers with a well-researched hypothesis on how we can solve their pain
Meticulously track and nurture your outbound activity
Nimbly interact with potential customers through various points of contact including attending in person meetings, trainings, and trade shows with confidence and ease
Learn the basics of prospecting and discovery to help jumpstart your career in sales
Meet and exceed monthly, quarterly, and annual lead generation quotas
Outbound prospecting through email, phone calls, and social media to schedule meetings for the Sales team
Qualify leads and assess their needs to determine if they are a good fit for Starburst Data



Some of the things we look for:


Have an innate curiosity about how data is changing the world
Enjoy a challenge and getting out of your comfort zone to aid in your personal and professional development/growth
Adeptly prioritize and reprioritize based on the evolving demands of other departments
Thrive in the unknown – and have a track record to prove it



$50,000 - $60,000 a year

The base salary range for this US full-time non-exempt position is equivalent to $50,000 + commission, subject to standard withholding and applicable taxes. All candidates receive equity (ISO) and access to a comprehensive benefits offering. The base salary range reflects the minimum and maximum target for candidates across all US locations. Work location, skills, experience, and any relevant education or training determine the compensation awarded to the candidate. The Recruiting Team or Hiring Manager can share more about the specific salary range with you during the recruitment process.

Why build your career at Starburst?

We live by our three core company values: Character, Competence, and Ownership and are a team of top performers. We are each in the driver’s seat, shaping our organization and working together towards our common mission. We are solving exceptionally complex and meaningful challenges here and as we innovate, we each have the opportunity to build our careers alongside Starbursts’s growth.

We take care of our global workforce by making sure employees enjoy competitive salaries and attractive stock grants, remote-friendly work options, flexible paid time off, and more!

Starburst Data is a diverse, equitable, and inclusive place to work. Everyone is welcome at the Starburst table and we have several employee resource groups such as Womxn At Starburst, Starburst Military, and Starburst Pride. We know that the more diverse perspectives we have at the table will only serve us to make a better team and company.

Starburst provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

#BI-Remote


Show less "
Sales Development Representative,Finfare,"Irvine, CA",1 month ago,"About Finfare

Finfare is dedicated to empowering SMBs, by providing the ultimate expense management solution for growing businesses seeking to streamline their financial operations and maximize cash back rewards. Finfare offers easy expense tracking, personalized spend controls, seamless accounting integration, powerful analytics, and reliable charge card services.

About The Role

Finfare is looking for an experienced Sales Development Representative to support the Business Development department’s on-going growth initiatives. We are looking for someone with a successful track record with generating new business opportunities, building our customer base, and creating strong, lasting relationships with partners as a trusted resource. An ideal candidate will have experience working in a fintech setting with strong B2B/B2B2C experience.

What You’ll Do


Conduct thorough research to identify potential clients for our B2B products Finfare Money and Finfare Connect.
Prospect companies, educate them on our business products, our charge card product, and expense management software.
Evaluate leads to ensure they align with our target customer profiles and engage in strategic conversations with prospects to understand their pain points and financial needs, and effectively communicate the value proposition of Finfare’s solutions.
Utilize various channels, including cold calling, email outreach, and social media, to generate leads.
Schedule and coordinate product demonstrations and presentations for qualified leads.


What You’ll Need


3+ years’ experience in a general/SaaS/fintech product sales development role.
Solid experience with rapidly growing startups or fintech SaaS products are strongly preferred.
Experience in fintech, banking, or financial services industry is strongly preferred.
Ability to proactively engage new clients through various communication channels.
A high sense of urgency that can adapt and pivot in various conversation flows.
A team-player attitude with a desire to improve internal processes beyond your day-to-day tasks.
A desire to learn, grow, and get in on the ground floor of a unicorn startup while launching your career in fintech sales.


Compensation

The salary range for this position is $50k-$80k+ (depending on experience).

Benefits At Finfare


Competitive health, vision, and dental benefits (covering 100% premium for employee and all dependent(s))
Unlimited PTO 
401K (with employer matching) 
Catered lunches 3x a week
Hybrid or on-site, depending on the role.
Work sponsorship (if applicable)
Parental leave 
Employee stock purchase plan (if applicable) 
Other employee perks


As part of our dedication to the diversity of our workforce, Finfare is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee on the basis of race, color, religion, creed, national origin or ancestry, sex, gender, gender identity, gender expression, sexual orientation, age, physical or mental disability, medical condition, marital/domestic partner status, military and veteran status, genetic information or any other legally-recognized protected basis under federal, state or local laws, regulations or ordinances.
Show less "
Sales Development Representative,Attentive,United States,3 weeks ago,"About Attentive:

Attentive® is the AI marketing platform for leading brands, designed to optimize message performance through 1:1 SMS and email interactions. Infusing intelligence at every stage of the consumer's purchasing journey, Attentive empowers businesses to achieve hyper-personalized communication with their customers on a large scale. Leveraging AI-powered tools, a mobile-first approach, two-way conversations, and enterprise-grade technology, Attentive drives billions in online revenue for brands around the globe. Trusted by over 8,000 leading brands such as CB2, Urban Outfitters, GUESS, Dickey’s Barbecue Pit, and Wyndham Resort, Attentive is the go-to solution for delivering powerful commerce experiences for consumers with the brands they love.

Attentive’s growth has been recognized by Deloitte’s Fast 500 , Linkedin’s Top Startups and Forbes Cloud 100 all thanks to the hard work from our global employees!

Who We Are

We are looking for a Sales Development Representative. As the first line of communication with prospects, ideal SDRs have a strong understanding of the sales process, excelling at researching leads, starting new relationships, and setting our sales closers up for success. You will coordinate cross-functionally with marketing, sales, product, and design to bridge the gap between product and revenue.

Why Attentive needs you


Research and identify potential customers for our software platform
Send outbound emails to drive customer meetings for your Account Executive partner with C-Level and VP-level executives at leading enterprise companies
Learn and aid in critical skills in the sales process like meeting preparation, follow-up and closing
SDRs can progress to account executive roles or other roles at the company


About You


Intelligent, curious and driven to succeed in a career in tech startups and sales
Hard-working and persistent, putting in the time before and after meetings to deliver great results
Openness to coaching and training


You'll get competitive perks and benefits , from health & wellness to equity, to help you bring your best self to work.

For US based applicants:


The US base salary range for this full-time position is $50,000 annually + bonus/commission + equity + benefits
Our salary ranges are determined by role, level and location
This role is salaried non-exempt and eligible for overtime compensation


Attentive Company Values

Default to Action - Move swiftly and with purpose

Be One Unstoppable Team - Rally as each other’s champions

Champion the Customer - Our success is defined by our customers' success

Act Like an Owner - Take responsibility for Attentive’s success

Learn more about AWAKE , Attentive’s collective of employee resource groups.

If you do not meet all the requirements listed here, we still encourage you to apply! No job description is perfect, and we may also have another opportunity that closely matches your skills and experience.

At Attentive, we know that our Company's strength lies in the diversity of our employees. Attentive is an Equal Opportunity Employer and we welcome applicants from all backgrounds. Our policy is to provide equal employment opportunities for all employees, applicants and covered individuals regardless of protected characteristics. We prioritize and maintain a fair, inclusive and equitable workplace free from discrimination, harassment, and retaliation.


Show less "
Sales Development Representative,"Bright Power, Inc.","New York, NY",4 months ago,"Sales Development Representative

Reports to: Director of Marketing

Salary Range: $68,500 to $80,000

Bright Power works with forward thinking owners and developers to identify, design, and implement custom energy and water solutions on a wide variety of systems. Our team is comprised of a diverse, talented, and hard-working group of individuals committed to growing this industry and to making a positive impact on the environment.

Join Us

Bright Power has been a transformative player in clean energy and sustainable housing for 15 years. Our Clients include affordable housing owners and developers, Fortune 1000 financial and real estate investors, privately held firms, and some of the nation’s largest property managers.

We are passionate about reducing energy and water usage through the implementation of energy efficiency and renewable energy technologies. Our goal is to improve the health, comfort, and value of our client’s buildings, while cultivating a sustainable future. We believe deeply in doing well by doing good and come to work every day seeking to change the world.

The Role

Bright Power is seeking a diligent and motivated Sales Development Representative. The ideal candidate will possess an interest in sustainable energy, an outgoing personality, and strong organizational skills. This position plays a crucial role in supporting product growth by meeting and exceeding monthly outbound sales goals and building sales pipeline.

Role and responsibilities:

Research prospect organizations, identify contacts, and manage a high volume of lead data
Complete sales outreach via various outbound channels, including cold calls, email campaigns and LinkedIn messaging
Book sales meetings for follow through and/or for handover to the sales team
Participate in product/service demo calls with potential customers
Track sales and outreach activities + campaign progress in the CRM
Receive training on product & services, including:
Sales drivers and competitive landscape
Speaking to value and return on investment vs. technical functionality
Anticipating and preparing for objections
Qualify leads + customers based on provided frameworks
Support account management team with research to identify upsell and cross-sell opportunities
Maintain lead status and campaign reports
Represent the company and our products with a high degree of professionalism

The ideal candidate possesses:

1+ years of relevant work experience
Long-term interest in a client-facing sales or business development career
Excellent verbal and written communication skills
An outgoing personality and the ability to hold engaging conversations and compose thoughtful emails
A competitive nature and results-driven approach
Superior organizational skills and ability to multitask efficiently
Proficiency with Salesforce.com or other CRM, Zoominfo, SalesNavigator, and/or data management experience
Degree or equivalent relevant experience required

Benefits

In addition to working with incredible people, Bright Power offers competitive benefits. Find the list of our benefits offered on ourcareers home page







Show less "
Sales Development Representative,Workable,"Boston, MA",1 week ago,"Workable makes software to help companies find and hire great people. We get recruiting and its role in building healthy workplaces — which is why we're proud more than 20,000 teams around the world use Workable to do exactly that.

And while we take recruiting seriously, we don't take ourselves too seriously. At Workable, you'll find smart people who have fun, learn and innovate, and help others do the same. We brainstorm, we laugh, and, occasionally, we party (there's a lot to celebrate), but we also appreciate people's need for quiet time and focused work. We respect everyone, we hire the best, and make sure every experience is special.

We're growing fast, in both headcount and revenue, and we're looking for a Sales Development Representative to join our team in Boston. The Sales Development Representative is responsible for pipeline growth from our target customers in the SMB marketplace.

This is an opportunity to join a world class software company and a great team that passionately believes in what it does.

Requirements

You must have:


Excellent communication skills, both verbal and written
A strong desire to start a sales career
Enthusiasm for the new technologies and a desire to learn and continuously improve
High energy, self starter and a positive attitude
Ability to prioritize, multitask, and manage time productively
Patience, empathy and persistence in a customer-facing context
Diligence and enthusiasm; you appreciate quality and deliver it on a daily basis
Team spirit; you seriously care about what you do and appreciate collaborating with your colleagues
Bachelor's degree or higher


Bonus Points For


Understanding of the SaaS, technology or recruiting industry
Interest in solving challenges and having an impact in new team campaigns and initiatives


Responsibilities


Reaching out to prospects by email and phone
Qualifying inbound and outbound leads, creating opportunities and next steps for Account Executives
Create a positive first impression with our prospects and customers by providing a world class experience
Using our stack to log your sales activity and monitor your performance


Benefits

Our employees enjoy benefits that make them more productive and contribute directly to the development of their professional skills. We want to be able to attract the best of the best and make sure they keep getting better. On top of an exciting, vibrant and intellectually challenging workplace, we offer:


Health & Wellness Benefits
Retirement Plan
Generous PTO
Apple gear


Workable is most decidedly an equal opportunity employer. We want applicants of diverse background and hire without regard to race, color, gender, religion, national origin, ancestry, disability, age, sexual orientation, or any other characteristic protected by law.
Show less "
Sales Development Representative,Monetate,United States,3 weeks ago,"About This Role

We are searching for a Sales Development Representative (SDR) to hunt for leads within our top accounts. You will partner with our Enterprise Account Executives and Marketing team to target and prospect decision makers of prospective and current clients. Through executive engagement and a consultative, customer focused selling approach, you will qualify leads by exploring prospects complex challenges, needs, and pains while also educating prospects on the value of our solutions. You will use intent-based data to prioritize and tailor your outreach to prospects and leverage digital selling techniques to research accounts, identify key contacts, and craft targeted messaging to effectively communicate our value proposition.




Come Work for Monetate

Welcome to Monetate! Come join our fully remote work environment and be part of an exciting, innovative team that is shaping the future of personalized digital customer experiences.




Monetate is the leading all-in-one personalization platform that empowers companies like Adidas, Dunkin’, and Lufthansa to get smarter about their customers and deliver engaging experiences across all digital touchpoints. Our global team of Monetaters come together every day to shape the future of digital customer experiences and you can too.




What You’ll Do

Prospect and source new business opportunities through cold calling, emailing, and social outreach.
Strategically align and partner with Account Executives & cross-functional teams to create and prioritize a list of accounts to target.
Enhance outbound campaigns by creating individualized industry and persona-based marketing content, including personalized emails, videos, and tailored experiences.
Leverage tools (such as 6sense, Salesforce, Outreach, Sales Navigator, LeadIQ and others) to effectively communicate our value proposition to key stakeholders.
Identify buying committee members within an account through market research, including corporate annual and quarterly reports, media coverage, and company structure.
Deliver and exceed your weekly, monthly, and quarterly targets.
Understand prospects’ current tech stack, website, and needs, in order to position our solutions in a way that creates value through increasing conversions, leads, revenue, etc.
Participate in events such as trade shows, industry events, Summit, etc.




What You’ll Need

Prior B2B SaaS SDR/BDR experience.
Strong written and verbal communication skills.
Energy, passion and a great attitude is a must.
Intellectually curious and coachable, with a track record of excellence across strategic, operational, and detail-demanding functional responsibilities.
Team and process oriented; you share best practices, manage time effectively, and work collectively with peers across the business and globally.




Bonus

Experience working in Personalization/MarTech/eCommerce SaaS industry a plus.




Monetate Perks

Flexible schedule, time away programs, and paid company holidays.
Customized training and development plans to help you achieve your career goals.
Generous health, wellness, and benefit programs, including 401(k) match and pet insurance.
Opportunity for impact, career growth, and intellectual stimulation.
Passionate, high-achieving teammates excited to help you succeed and learn.
Company events and Employee Resource Groups.
At Monetate we celebrate and support all differences. Monetate is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital, disability, and ve
Show less "
Sales Development Representative,TrueVault,New York City Metropolitan Area,1 month ago,"About TrueVault

Data privacy is now one of the most important considerations for businesses. With State-level consumer privacy laws coming out every few months, navigating this evolving landscape is becoming unmanageable for companies.




TrueVault builds software that helps businesses comply with consumer data privacy laws. We believe if businesses have access to products that make getting and staying compliant simple, straightforward, and fully automated then respecting consumers' data privacy becomes the sensible default for businesses. And we all benefit from that!




And, we’re not the only ones who think so. We’re a profitable startup that just raised 2M dollars with big ambitions to grow in 2024 and we’re looking to grow our sales team to help us reach our goals.




About the role

Your job is to prospect, connect, and convince qualified prospects to do a demo with TrueVault through calling, emails, and social media.




Over the last 12 months we’ve grown over 500% and we’re building out a team that can help us continue to grow.

We are seeking a Sales Development Representative to join our team.




Here's what this looks like on a day-to-day basis:




Reach out to prospects through a fully baked and vetted GTM strategy
Make 75-100 calls per day
Book awesome meetings with qualified prospects
Identify patterns of what’s working (and what’s not working) and feed that information back into the team so we can get better
Develop a keen understanding of TrueVault, the legal landscape of Compliance & Privacy, and the marketplace.




Here's what this looks like on a day-to-day basis:

Find new prospects through a fully baked and vetted GTM strategy.
Book awesome meetings with qualified prospects.
Develop a keen understanding of TrueVault, the legal landscape of Compliance & Privacy, and the marketplace.

 

Requirements:

Experience of 1-2 years in an SDR/BDR role, preferably in SaaS. This role is entry level, so exceptions are made for Rockstars looking to break into SaaS.
Ability to thrive in an early stage startup. We’re looking for a candidate who excels in unpredictable environments.
You are coachable. Willing to learn and you know that you “don’t know what you don’t know.”

 

Bonus Points:

Experience / background in Data Privacy, Compliance, or Legal.
Previous startup experience. Ideally, at a seed through series B startup
Bachelor's Degree 

 

Benefits

Competitive pay and equity based on skills & experience. 
Unlimited PTO (and the encouragement to use it). 
100% sponsored Health, dental, and vision insurance 
Company-Subsidized Benefits for you and your family. 
Annual company retreats. 
Promote from within philosophy. 

 

Beyond the tangible benefits

You will be part of a rapidly growing team, at a pinnacle moment of scale for the business, and experience the excitement of working in a startup where each action makes an exponential difference.
You will be working in one of the hottest / fastest growing industry in the software space - Data Privacy 
You will work with some of the smartest and most passionate people solving some of the most unique complex challenges in today’s world where Data is now the most valuable commodity 
If you are excited about the role but do not meet 100% of the qualifications listed above, we encourage you to apply.
Show less "
Sales Development Representative,Silo,"New York, NY",5 months ago,"About Silo

Help us rebuild the oldest system in the world - the agricultural supply chain

Silo builds technologies which bring efficiency and transparency to the agricultural supply chain. Our modern ERP dramatically increases profits, improves product freshness, and reduces food waste for farmers, wholesalers, distributors, and buyers.

We are a highly motivated team of engineers, designers, business and agricultural specialists taking on the challenge of transforming a centuries old industry. We are looking for self-motivated team members who crave a challenge and feel energized to work cross functionally to realize Silo’s enormous potential.

Silo has funding from preeminent investors like Andreessen Horowitz, Initialized Capital, Haystack, and Garry Tan. Silo is headquartered in San Francisco with distributed teams located across the United States and internationally.

Why Silo?

We will work hard to make sure your decision to join us is worthwhile and rewarding. You’ll learn how a start-up operates and learn skills that will help you at any point in your career. You will be empowered to take initiative and get support to execute an idea from beginning to the end.

The Role:

As a Sales Development Representative, you will expand Silo’s business by discovering qualified prospects, understanding where their business can be improved, and communicating the value of Silo’s products in helping achieve those improvements. You will work directly with our Account Executives to become the Quarterbacks of your assigned territory, generating pipeline via whatever strategy you deem most effective. You must effectively communicate the value and functionality of Silo, follow the Silo playbook, and maintain detailed records of interactions and leads in our Salesforce CRM. Additionally, you’ll take a data backed approach to prospecting, outreach and pipeline generation. You will need to be comfortable with change that comes at a fast start up and the ability to sell a product that is new to the market.

Responsibilities:


Achieve monthly quotas of leads sourced, meetings scheduled, and qualified opportunities generated
Research and prioritize strategic target account lists within a defined territory
Maintain accurate account & activity information in Salesforce (i.e. adding contacts, sending emails, strategic calling)
Conduct high-level conversations with senior executives in prospect accounts by phone and email
Collaborate with other departments to identify product improvements, modifications or changes that could enhance its overall performance and attractiveness of our platform



What Makes A Great Candidate:


Bilingual (Spanish/English) is a plus
Superior verbal and written communication skills
Commitment to pursuing a career in sales
Consistent track record of overachievement
Competitive, resilient, and highly motivated
A great attitude and love for teamwork
BA/BS Degree or equivalent work experience
Able to be in office (NYC) several times a week and operate in a hybrid environment



Benefits & Perks

In addition to a competitive salary, commissions and equity, Silo offers comprehensive company sponsored health insurance, wellness and meal stipends, unlimited PTO, 401(k), and a substantial paid parental leave policy. We have a work hard, play hard culture.

How to Apply

We are committed to building a diverse team of people from a wide variety of backgrounds, and encourage anyone to apply.

Apply with your resume and we’ll be in touch.

The salary above reflects a base salary for the position. The total compensation includes a variable compensation targeting $30,000 annually. Silo is committed to offering competitive, fair, and commensurate compensation. Actual compensation will be based on multiple factors that are unique to each candidate, including but not limited to a candidate’s job-related skills, experience, education or training, and location. Salary is just one component of Silo's total compensation package for employees.
Show less "
Sales Development Representative (SDR),Blue Bite,"New York, NY",1 month ago,"Blue Bite is seeking a highly motivated Sales Development Representative (SDR) to join our sales team.

As an SDR, you'll be the backbone of our growth engine, prospecting for new business and qualifying opportunities for our sales team.

If you're a self-starter with a passion and a desire to contribute to the growth of a dynamic company, we'd love to hear from you.

Responsibilities:


Qualify leads and deliver opportunities to Account Executives.
Craft compelling messaging to drive awareness, curiosity, and interest.
Accurately identify key stakeholders and new prospects who fit into our ICP.
Monitor and track your progress against KPIs.
Assist with broader sales and marketing initiatives.
Maintain a comprehensive understanding of industry trends.



Qualifications:


Proven track record (1-3 years) of outbound prospecting success required, preferably in Martech.
Exceptional communication and interpersonal skills, highly articulate across all channels.
Always looking to learn, improve, and try new things.
Driven by a competitive spirit for individual results, but always champion collective success.
Resourceful and able to think quickly with composure.
Optimistic approach, recognizing that energy and disposition are critical in this role.
Show less "
Sales Development Representative,Rentable,"Madison, WI",6 days ago,"We're Changing the Rentals Industry

We're a profitable, growth-stage company building industry-leading martech and data SaaS products for the rentals industry. While originally known for building and operating one of the U.S.'s largest rental marketplaces - Rentable, we recently launched a martech product and a competitive intelligence software - ApartmentIQ, both with high growth rates.

We're a 100% remote team of 90 spread across the U.S. from coast to coast. We operate on a strict no a**holes policy, and are proud to have built a community of highly performant people that take our work seriously, but not ourselves.

While we've raised $30MM+ to date from some of the world's best investors, we're profitable with a strong balance sheet and an indefinite runway. We pride ourselves on achieving rapid growth without having to incinerate capital.

If you like the idea of joining an industry-changing company made up of people who genuinely like each other, Rentable could be a great fit for you.

Job Description

As a Sales Development Representative, your primary function is to put our sales team in touch with the right people at the right companies. You'll be responsible for engaging prospective customers and converting these into sales opportunities that will be handed to and closed by an Account Executive.

You'll have a direct impact on the expansion of our business and be recognized & rewarded for your success. We only hire the best, and you'll need to convince us that you're a top level performer.

Responsibilities


Work on the SDR team in tandem with our Account Executives to grow our top markets
Prospect and research new business opportunities with property management companies
Build a pipeline of consistent and qualified leads for Account Executives
Engage prospective customers via cold calling, LinkedIn and email marketing
Creatively uncover opportunities by connecting with multiple stakeholders; property managers, marketing directors and senior leadership


Qualifications


1-2 years of experience in a sales role
A friendly, likable demeanor and a team-oriented mindset
Competitive spirit
Willingness to contact and sell to people you've never met
Ability to qualify prospective customers and generate leads
Ability to rapidly learn and apply new strategies for pre-sales outreach
A relentless desire for growth and advancement


Why Rentable?

We're a 100% remote company where meetings, bureaucracy, and hierarchy are abhorred, and building and solving problems are what matter above all else.

We have a no a**hole policy. We believe in radical inclusivity. Everyone is welcome to join our team and we share all key metrics. And we always put renters first - we're serious about all that ""build a renter-friendly world"" stuff we keep talking about!

Perks of Working for Rentable:


100% remote workplace
Competitive Compensation
Stock Options
Open Vacation Policy (you take vacation whenever you want)
Medical, Dental, and Vision Insurance
100% paid Short-Term Disability, Long-Term Disability, and Life Insurance program
401k Program


If you need assistance and/or a reasonable accommodation in the application or recruiting process, please contact your recruiter.
Show less "
Sales Development Representative,Documo,United States,2 weeks ago,"Overview

We are seeking a motivated and highly technical Sales Development Representative (SDR) to join Documo! As an SDR, you will research and qualify inbound leads, develop relationships with prospects, build a high-quality sales pipeline, and expand our customer base. You'll spend time researching, contacting, nurturing, and qualifying diverse inbound leads to generate interest and set up informed sales conversations. You will collaborate closely with our Sales and Growth functions to drive lead conversion in a complex market. With our target audience being CTOs/CIOs/etc., we are looking for a candidate with a high level of technical expertise and understanding. Join us for an exciting opportunity to make a big impact in our high-growth organization!




*Note: As a fully distributed company, we are open to hiring anywhere, however, the work hours for this position are during USA business hours




What To Expect:

Convert MQLs to SQLs through effective lead qualification and nurturing processes
Effective lead discovery techniques to identify business problems and solution opportunities
Demonstrate a strong understanding of lead qualification principles, inbound sales development, and product-led/product-qualified deals
Keep and maintain accurate and up-to-date Salesforce instance
Maintain a self-starter attitude, taking initiative to drive lead conversion
Conduct outreach to inbound leads, engaging them in meaningful conversations to assess their needs and challenges
Establish active communications and engagement with prospects, fostering relationships and building rapport
Successfully handle introductions and orchestrate a seamless handoff of qualified leads to AEs
Collaborate with growth & sales teams to create innovative lead generation ideas
Consistently meet and exceed goals and performance metrics
Maintain knowledge of products and services to effectively communicate value propositions to prospects’ business outcomes
Communicate and collaborate with individuals at all levels of the organization to ensure alignment and maximize lead conversion efforts
Perform any other duties assigned, adapting to evolving responsibilities and contributing to overall team success




Who You Are:

3+ years of experience in a similar role
Highly technical, understanding technical jargon and being able to understand the technical side of our product in order to sell to CTO/CIO roles
Must be comfortable making calls to leads
Excellent verbal and written communication skills
Must be a self starter who is flexible and has a willingness to grow and learn
Strong interpersonal skills
Excellent customer service skills
Strong organizational skills
Excellent time management skills
Ability to prioritize and manage multiple tasks
Ability to work independently
Ability to work in a fast-paced environment




Why Documo?

Competitive benefits (medical, dental, vision, 401k with an impressive match) for US based employees
Annual performance reviews
Equity in the company
The ability to work from wherever makes you happy with people who love what they do
Work for a small but fast-growing technology company with a supportive, inclusive, and fun culture! Documo is ranked in the top 5% of companies for Overall Culture, Perks and Benefits, and Professional Development!




At Documo, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of ancestry, race, place of origin, political belief, religion, marital status, family status, physical or mental disability, sex, sexual orientation, gender identity or expression, age, or any other characteristic protected by law. Documo is an equal opportunity employer.

Show less "
